Date,Liters,Cost,Trip_km,Odo_km,Odo_Actual,Odo_Diff
22 Aug 2013,,,,21.3,21.3,
29 Aug 2013,42.77,46.75,80.7,102.0,102.0,0.0
04 Sep 2013,46.35,50.80,772.3,825.0,874.3,(49.3)
11 Sep 2013,46.79,52.12,827.6,1653.0,1652.6,0.4
23 Sep 2013,49.93,$55.52,894.6,2547.0,2547.6,(0.6)
28 Sep 2013,33.31,36.84,659.9,3207.0,3206.9,0.1
29 Sep 2013,40.27,$44.53,759.3,3967.0,3966.3,0.7
02 Oct 2013,40.95,$45.29,815.2,4782.0,4782.2,(0.2)
10 Oct 2013,32.38,35.55,567.9,5350.0,5349.9,0.1
11 Oct 2013,34.81,$38.22,668.7,6019.0,6018.7,0.3
14 Oct 2013,45.88,$50.10,833.9,6852.0,6852.9,(0.9)
21 Oct 2013,45.98,$50.21,818.1,7671.0,7670.1,0.9
26 Oct 2013,39.82,43.76,784.6,8455.0,8455.6,(0.6)
04 Nov 2013,43.38,48.02,760.8,9216.0,9215.8,0.2
10 Nov 2013,29.52,$31.91,527.9,9744.0,9743.9,0.1
14 Nov 2013,45.54,49.23,804.9,10549.0,10548.9,0.1
19 Nov 2013,47.05,50.58,803.2,11352.0,11352.2,(0.2)
21 Nov 2013,21.13,22.71,366.8,11719.0,11718.8,0.2
23 Nov 2013,47.20,$50.59,838.1,12557.0,12557.1,(0.1)
26 Nov 2013,42.84,45.92,764.7,13322.0,13321.7,0.3
29 Nov 2013,25.16,$26.97,433.5,13756.0,13755.5,0.5
01 Dec 2013,44.04,$47.47,807.5,14563.0,14563.5,(0.5)
03 Dec 2013,42.68,$46.00,770.6,15334.0,15333.6,0.4
06 Dec 2013,43.51,46.90,757.9,16092.0,16091.9,0.1
11 Dec 2013,43.37,47.19,724.3,16816.0,16816.3,(0.3)
13 Dec 2013,15.30,$16.64,236.0,17052.0,17052.0,0.0
15 Dec 2013,43.32,$47.08,781.2,17834.0,17833.2,0.8
16 Dec 2013,41.66,$45.28,675.2,18509.0,18509.2,(0.2)
20 Dec 2013,36.51,$39.68,602.7,19112.0,19111.7,0.3
08 Jan 2014,42.53,$46.52,726.7,19846.0,19838.7,7.3
11 Jan 2014,37.74,41.33,634.4,20480.0,20480.4,(0.4)
14 Jan 2014,32.92,36.05,571.8,21052.0,21051.8,0.2
20 Jan 2014,41.72,$45.43,758.0,21810.0,21810.0,0.0
26 Jan 2014,39.46,$42.85,668.9,22479.0,22478.9,0.1
29 Jan 2014,42.37,$46.01,707.3,23186.0,23186.3,(0.3)
02 Feb 2014,33.45,36.59,584.0,23770.0,23770.0,0.0
07 Feb 2014,44.21,$48.36,749.9,24520.0,24519.9,0.1
23 Feb 2014,38.65,$43.13,679.7,25200.0,25199.7,0.3
27 Feb 2014,44.56,$49.72,794.9,25995.0,25994.9,0.1
03 Mar 2014,43.02,48.35,715.9,26711.0,26710.9,0.1
07 Mar 2014,36.11,40.59,647.2,27358.0,27358.2,(0.2)
09 Mar 2014,43.35,$48.68,788.7,28127.0,28146.7,(19.7)
11 Mar 2014,39.71,44.59,705.2,28832.0,28832.2,(0.2)
14 Mar 2014,32.11,36.06,566.2,29399.0,29398.2,0.8
22 Mar 2014,45.56,$51.02,722.9,30122.0,30121.9,0.1
25 Mar 2014,37.78,42.31,731.7,30853.0,30853.7,(0.7)
28 Mar 2014,46.82,$52.43,813.9,31667.0,31666.9,0.1
30 Mar 2014,43.43,48.47,756.2,32424.0,32423.2,0.8
02 Apr 2014,34.03,37.98,558.3,32982.0,32982.3,(0.3)
03 Apr 2014,14.42,16.09,279.4,33261.0,33261.4,(0.4)
04 Apr 2014,41.07,$45.83,722.9,33984.0,33983.9,0.1
06 Apr 2014,37.08,$41.27,690.4,34675.0,34674.4,0.6
08 Apr 2014,43.18,$48.05,730.7,35406.0,35405.7,0.3
12 Apr 2014,46.04,$51.01,772.7,36178.0,36178.7,(0.7)
14 Apr 2014,32.55,36.07,554.9,36733.0,36732.9,0.1
18 Apr 2014,40.44,44.81,710.4,37444.0,37443.4,0.6
22 Apr 2014,37.09,$41.05,561.3,38005.0,38005.3,(0.3)
26 Apr 2014,43.03,$47.84,735.5,38741.0,38740.5,0.5
04 May 2014,45.71,$50.87,821.6,39562.0,39562.6,(0.6)
09 May 2014,43.75,48.69,766.5,40329.0,40328.5,0.5
11 May 2014,41.42,45.98,674.5,41003.0,41003.5,(0.5)
13 May 2014,29.87,40euro,829.8,41833.0,41832.8,0.2
16 May 2014,47.31,$52.51,555.0,42338.0,42388.0,(50.0)
23 May 2014,48.53,$53.62,1044.4,43382.0,43382.4,(0.4)
29 May 2014,44.41,$48.76,1024.9,44407.0,44406.9,0.1
02 Jun 2014,46.91,$51.55,1041.1,45448.0,45448.1,(0.1)
03 Jun 2014,45.16,$49.63,755.9,46204.0,46203.9,0.1
06 Jun 2014,40.75,$44.78,859.5,47064.0,47063.5,0.5
09 Jun 2014,49.05,53.86,1041.5,48105.0,48105.5,(0.5)
16 Jun 2014,48.62,$53.04,990.7,49096.0,49095.7,0.3
23 Jun 2014,46.34,50.42,1019.0,50115.0,50115.0,0.0
27 Jun 2014,48.07,52.30,930.1,51045.0,51045.1,(0.1)
03 Jul 2014,43.23,63.50,852.4,51898.0,51897.4,0.6
06 Jul 2014,48.94,66.51,925.4,52823.0,52823.4,(0.4)
11 Jul 2014,44.46,59.98,947.8,53771.0,53770.8,0.2
14 Jul 2014,46.63,€68.03,927.8,54699.0,54698.8,0.2
16 Jul 2014,16.56,€24.49,302.2,55001.0,55001.2,(0.2)
18 Jul 2014,45.63,€68.40,1086.8,56088.0,56087.8,0.2
24 Jul 2014,45.71,€59.83,1034.0,57122.0,57122.0,0.0
27 Jul 2014,43.52,€61.75,1016.8,58139.0,58138.8,0.2
29 Jul 2014,47.64,€52.50,1049.4,59188.0,59188.4,(0.4)
04 Aug 2014,44.95,€66.03,985.5,60174.0,60173.5,0.5
09 Aug 2014,44.04,€57.65,908.7,61083.0,61082.7,0.3
12 Aug 2014,46.81,€63.61,1113.1,62196.0,62196.1,(0.1)
19 Aug 2014,41.80,€45.77,930.5,63126.0,63126.5,(0.5)
25 Aug 2014,45.31,€63.39,937.9,64064.0,64063.9,0.1
01 Sep 2014,45.35,€49.39,1025.5,65090.0,65089.5,0.5
10 Sep 2014,47.86,€67.43,1124.3,66214.0,66214.3,(0.3)
15 Sep 2014,34.69,€37.71,771.7,66986.0,66985.7,0.3
23 Sep 2014,46.58,€50.49,976.6,67963.0,67962.6,0.4
29 Sep 2014,47.07,€50.74,978.4,68941.0,68941.4,(0.4)
02 Oct 2014,44.15,€60.00,966.1,69907.0,69907.1,(0.1)
08 Oct 2014,46.25,€64.70,918.5,70826.0,70825.5,0.5
14 Oct 2014,46.68,€63.90,923.4,71749.0,71749.4,(0.4)
20 Oct 2014,45.50,€48.09,982.3,72732.0,72731.3,0.7
27 Oct 2014,45.30,€58.84,895.2,73627.0,73627.2,(0.2)
31 Oct 2014,46.79,€59.38,969.7,74597.0,74596.7,0.3
06 Nov 2014,46.76,€48.63,999.9,75597.0,75596.9,0.1
11 Nov 2014,44.77,€56.81,901.6,76498.0,76498.6,(0.6)
23 Nov 2014,39.74,€54.01,863.8,77362.0,77361.8,0.2
30 Nov 2014,46.14,€47.89,854.8,78217.0,78216.8,0.2
09 Dec 2014,46.76,€48.26,873.3,79090.0,79090.3,(0.3)
17 Dec 2014,44.27,€44.89,937.8,80028.0,80027.8,0.2
